country;year;pop;continent;lifeExp;gdpPercap;gdpPercap_tratada;lifeExp_tratada;pop_tratada;one-sided violence;non-state conflict;extrasystemic;intrastate;interstate
Bahrain;1997;598561;Asia;73.925;20292.01679;20292.02;73.9;598.561;0.0;0.0;0.0;0.0;0.0
Bahrain;2002;656397;Asia;74.795;23403.55927;23403.56;74.8;656.397;0.0;0.0;0.0;0.0;0.0
Bahrain;2007;708573;Asia;75.635;29796.04834;29796.05;75.6;708.573;0.0;0.0;0.0;0.0;0.0
Bangladesh;1952;46886859;Asia;37.484;684.2441716;684.24;37.5;46.886.859;;;;;
Bangladesh;1957;51365468;Asia;39.348;661.6374577;661.64;39.3;51.365.468;;;;;
Bangladesh;1962;56839289;Asia;41.216;686.3415538;686.34;41.2;56.839.289;;;;;
Bangladesh;1967;62821884;Asia;43.453;721.1860862;721.19;43.5;62.821.884;;;;;
Bangladesh;1972;70759295;Asia;45.252;630.2336265;630.23;45.3;70.759.295;;;;;
Bangladesh;1977;80428306;Asia;46.923;659.8772322;659.88;46.9;80.428.306;;;;;
Bangladesh;1982;93074406;Asia;50.009;676.9818656;676.98;50.0;93.074.406;;;;;
Bangladesh;1987;103764241;Asia;52.819;751.9794035;751.98;52.8;103.764.241;;;;;
Bangladesh;1992;113704579;Asia;56.018;837.8101643;837.81;56.0;113.704.579;422.0;0.0;0.0;96.0;0.0
Bangladesh;1997;123315288;Asia;59.412;972.7700352;972.77;59.4;123.315.288;57.0;27.0;0.0;0.0;0.0
Bangladesh;2002;135656790;Asia;62.013;1136.39043;1136.39;62.0;135.656.790;7.0;130.0;0.0;0.0;0.0
Bangladesh;2007;150448339;Asia;64.062;1391.253792;1391.25;64.1;150.448.339;97.0;0.0;0.0;119.0;0.0
Belgium;1952;8730405;Europe;68.0;8343.105127;8343.11;68.0;8.730.405;;;;;
Belgium;1957;8989111;Europe;69.24;9714.960623;9714.96;69.2;8.989.111;;;;;
Belgium;1962;9218400;Europe;70.25;10991.20676;10991.21;70.2;9.218.400;;;;;
Belgium;1967;9556500;Europe;70.94;13149.04119;13149.04;70.9;9.556.500;;;;;
Belgium;1972;9709100;Europe;71.44;16672.14356;16672.14;71.4;9.709.100;;;;;
Belgium;1977;9821800;Europe;72.8;19117.97448;19117.97;72.8;9.821.800;;;;;
Belgium;1982;9856303;Europe;73.93;20979.84589;20979.85;73.9;9.856.303;;;;;
Belgium;1987;9870200;Europe;75.35;22525.56308;22525.56;75.4;9.870.200;;;;;
Belgium;1992;10045622;Europe;76.46;25575.57069;25575.57;76.5;10.045.622;0.0;0.0;0.0;0.0;0.0
Belgium;1997;10199787;Europe;77.53;27561.19663;27561.2;77.5;10.199.787;0.0;0.0;0.0;0.0;0.0
Belgium;2002;10311970;Europe;78.32;30485.88375;30485.88;78.3;10.311.970;0.0;0.0;0.0;0.0;0.0
Belgium;2007;10392226;Europe;79.441;33692.60508;33692.61;79.4;10.392.226;0.0;0.0;0.0;0.0;0.0
Benin;1952;1738315;Africa;38.223;1062.7522;1062.75;38.2;1.738.315;;;;;
Benin;1957;1925173;Africa;40.358;959.6010805;959.6;40.4;1.925.173;;;;;
Benin;1962;2151895;Africa;42.618;949.4990641;949.5;42.6;2.151.895;;;;;
Benin;1967;2427334;Africa;44.885;1035.831411;1035.83;44.9;2.427.334;;;;;
Benin;1972;2761407;Africa;47.014;1085.796879;1085.8;47.0;2.761.407;;;;;
Benin;1977;3168267;Africa;49.19;1029.161251;1029.16;49.2;3.168.267;;;;;
Benin;1982;3641603;Africa;50.904;1277.897616;1277.9;50.9;3.641.603;;;;;
Benin;1987;4243788;Africa;52.337;1225.85601;1225.86;52.3;4.243.788;;;;;
Benin;1992;4981671;Africa;53.919;1191.207681;1191.21;53.9;4.981.671;0.0;0.0;0.0;0.0;0.0
Benin;1997;6066080;Africa;54.777;1232.975292;1232.98;54.8;6.066.080;0.0;0.0;0.0;0.0;0.0
Benin;2002;7026113;Africa;54.406;1372.877931;1372.88;54.4;7.026.113;0.0;0.0;0.0;0.0;0.0
Benin;2007;8078314;Africa;56.728;1441.284873;1441.28;56.7;8.078.314;0.0;0.0;0.0;0.0;0.0
Bolivia;1952;2883315;Americas;40.414;2677.326347;2677.33;40.4;2.883.315;;;;;
Bolivia;1957;3211738;Americas;41.89;2127.686326;2127.69;41.9;3.211.738;;;;;
Bolivia;1962;3593918;Americas;43.428;2180.972546;2180.97;43.4;3.593.918;;;;;
Bolivia;1967;4040665;Americas;45.032;2586.886053;2586.89;45.0;4.040.665;;;;;
Bolivia;1972;4565872;Americas;46.714;2980.331339;2980.33;46.7;4.565.872;;;;;
Bolivia;1977;5079716;Americas;50.023;3548.097832;3548.1;50.0;5.079.716;;;;;
Bolivia;1982;5642224;Americas;53.859;3156.510452;3156.51;53.9;5.642.224;;;;;
Bolivia;1987;6156369;Americas;57.251;2753.69149;2753.69;57.3;6.156.369;;;;;
Bolivia;1992;6893451;Americas;59.957;2961.699694;2961.7;60.0;6.893.451;0.0;0.0;0.0;0.0;0.0
Bolivia;1997;7693188;Americas;62.05;3326.143191;3326.14;62.0;7.693.188;0.0;0.0;0.0;0.0;0.0
Bolivia;2002;8445134;Americas;63.883;3413.26269;3413.26;63.9;8.445.134;0.0;50.0;0.0;0.0;0.0
Bolivia;2007;9119152;Americas;65.554;3822.137084;3822.14;65.6;9.119.152;0.0;0.0;0.0;0.0;0.0
Bosnia and Herzegovina;1952;2791000;Europe;53.82;973.5331948;973.53;53.8;2.791.000;;;;;
Bosnia and Herzegovina;1957;3076000;Europe;58.45;1353.989176;1353.99;58.4;3.076.000;;;;;
Bosnia and Herzegovina;1962;3349000;Europe;61.93;1709.683679;1709.68;61.9;3.349.000;;;;;
Bosnia and Herzegovina;1967;3585000;Europe;64.79;2172.352423;2172.35;64.8;3.585.000;;;;;
Bosnia and Herzegovina;1972;3819000;Europe;67.45;2860.16975;2860.17;67.4;3.819.000;;;;;
Bosnia and Herzegovina;1977;4086000;Europe;69.86;3528.481305;3528.48;69.9;4.086.000;;;;;
Bosnia and Herzegovina;1982;4172693;Europe;70.69;4126.613157;4126.61;70.7;4.172.693;;;;;
Bosnia and Herzegovina;1987;4338977;Europe;71.14;4314.114757;4314.11;71.1;4.338.977;;;;;
Bosnia and Herzegovina;1992;4256013;Europe;72.178;2546.781445;2546.78;72.2;4.256.013;4477.0;1578.0;0.0;20840.0;0.0
Bosnia and Herzegovina;1997;3607000;Europe;73.244;4766.355904;4766.36;73.2;3.607.000;9232.0;0.0;0.0;29107.0;0.0
Bosnia and Herzegovina;2002;4165416;Europe;74.09;6018.9752397;6018.98;74.1;4.165.416;0.0;0.0;0.0;0.0;0.0
Bosnia and Herzegovina;2007;4552198;Europe;74.852;7446.298803;7446.3;74.9;4.552.198;0.0;0.0;0.0;0.0;0.0
Botswana;1952;442308;Africa;47.622;851.2411407;851.24;47.6;442.308;;;;;
Botswana;1957;474639;Africa;49.618;918.2325349;918.23;49.6;474.639;;;;;
Botswana;1962;512764;Africa;51.52;983.6539764;983.65;51.5;512.764;;;;;
Botswana;1967;553541;Africa;53.298;1214.709294;1214.71;53.3;553.541;;;;;
Botswana;1972;619351;Africa;56.024;2263.611114;2263.61;56.0;619.351;;;;;
Botswana;1977;781472;Africa;59.319;3214.857818;3214.86;59.3;781.472;;;;;
Botswana;1982;970347;Africa;61.484;4551.14215;4551.14;61.5;970.347;;;;;
Botswana;1987;1151184;Africa;63.622;6205.88385;6205.88;63.6;1.151.184;;;;;
Botswana;1992;1342614;Africa;62.745;7954.111645;7954.11;62.7;1.342.614;1.0;0.0;0.0;0.0;0.0
Botswana;1997;1536536;Africa;52.556;8647.142313;8647.14;52.6;1.536.536;0.0;0.0;0.0;0.0;0.0
Botswana;2002;1630347;Africa;46.634;11003.60508;11003.61;46.6;1.630.347;0.0;0.0;0.0;0.0;0.0
Botswana;2007;1639131;Africa;50.728;12569.85177;12569.85;50.7;1.639.131;0.0;0.0;0.0;0.0;0.0
Brazil;1952;56602560;Americas;50.917;2108.944355;2108.94;50.9;56.602.560;;;;;
Brazil;1957;65551171;Americas;53.285;2487.365989;2487.37;53.3;65.551.171;;;;;
Brazil;1962;76039390;Americas;55.665;3336.585802;3336.59;55.7;76.039.390;;;;;
Brazil;1967;88049823;Americas;57.632;3429.864357;3429.86;57.6;88.049.823;;;;;
Brazil;1972;100840058;Americas;59.504;4985.711467;4985.71;59.5;100.840.058;;;;;
Brazil;1977;114313951;Americas;61.489;6660.118654;6660.12;61.5;114.313.951;;;;;
Brazil;1982;128962939;Americas;63.336;7030.835878;7030.84;63.3;128.962.939;;;;;
Brazil;1987;142938076;Americas;65.205;7807.095818;7807.1;65.2;142.938.076;;;;;
Brazil;1992;155975974;Americas;67.057;6950.283021;6950.28;67.1;155.975.974;0.0;0.0;0.0;0.0;0.0
Brazil;1997;168546719;Americas;69.388;7957.980824;7957.98;69.4;168.546.719;29.0;102.0;0.0;0.0;0.0
Brazil;2002;179914212;Americas;71.006;8131.212843;8131.21;71.0;179.914.212;28.0;183.0;0.0;0.0;0.0
Brazil;2007;190010647;Americas;72.39;9065.800825;9065.8;72.4;190.010.647;34.0;120.0;0.0;0.0;0.0
Bulgaria;1952;7274900;Europe;59.6;2444.286648;2444.29;59.6;7.274.900;;;;;
Bulgaria;1957;7651254;Europe;66.61;3008.670727;3008.67;66.6;7.651.254;;;;;
Bulgaria;1962;8012946;Europe;69.51;4254.337839;4254.34;69.5;8.012.946;;;;;
Bulgaria;1967;8310226;Europe;70.42;5577.0028;5577.0;70.4;8.310.226;;;;;
Bulgaria;1972;8576200;Europe;70.9;6597.494398;6597.49;70.9;8.576.200;;;;;
Bulgaria;1977;8797022;Europe;70.81;7612.240438;7612.24;70.8;8.797.022;;;;;
Bulgaria;1982;8892098;Europe;71.08;8224.191647;8224.19;71.1;8.892.098;;;;;
Bulgaria;1987;8971958;Europe;71.34;8239.854824;8239.85;71.3;8.971.958;;;;;
Bulgaria;1992;8658506;Europe;71.19;6302.623438;6302.62;71.2;8.658.506;0.0;0.0;0.0;0.0;0.0
Bulgaria;1997;8066057;Europe;70.32;5970.38876;5970.39;70.3;8.066.057;0.0;0.0;0.0;0.0;0.0
Bulgaria;2002;7661799;Europe;72.14;7696.777725;7696.78;72.1;7.661.799;0.0;0.0;0.0;0.0;0.0
Bulgaria;2007;7322858;Europe;73.005;10680.79282;10680.79;73.0;7.322.858;0.0;0.0;0.0;0.0;0.0
Burkina Faso;1952;4469979;Africa;31.975;543.2552413;543.26;32.0;4.469.979;;;;;
Burkina Faso;1957;4713416;Africa;34.906;617.1834648;617.18;34.9;4.713.416;;;;;
Burkina Faso;1962;4919632;Africa;37.814;722.5120206;722.51;37.8;4.919.632;;;;;
Burkina Faso;1967;5127935;Africa;40.697;794.8265597;794.83;40.7;5.127.935;;;;;
Burkina Faso;1972;5433886;Africa;43.591;854.7359763;854.74;43.6;5.433.886;;;;;
Burkina Faso;1977;5889574;Africa;46.137;743.3870368;743.39;46.1;5.889.574;;;;;
Burkina Faso;1982;6634596;Africa;48.122;807.1985855;807.2;48.1;6.634.596;;;;;
Burkina Faso;1987;7586551;Africa;49.557;912.0631417;912.06;49.6;7.586.551;;;;;
Burkina Faso;1992;8878303;Africa;50.26;931.7527731;931.75;50.3;8.878.303;0.0;0.0;0.0;0.0;0.0
Burkina Faso;1997;10352843;Africa;50.324;946.2949618;946.29;50.3;10.352.843;0.0;0.0;0.0;0.0;0.0
Burkina Faso;2002;12251209;Africa;50.65;1037.645221;1037.65;50.6;12.251.209;0.0;0.0;0.0;0.0;0.0
Burkina Faso;2007;14326203;Africa;52.295;1217.032994;1217.03;52.3;14.326.203;0.0;0.0;0.0;0.0;0.0
Burundi;1952;2445618;Africa;39.031;339.2964587;339.3;39.0;2.445.618;;;;;
Burundi;1957;2667518;Africa;40.533;379.5646281;379.56;40.5;2.667.518;;;;;
Burundi;1962;2961915;Africa;42.045;355.2032273;355.2;42.0;2.961.915;;;;;
Burundi;1967;3330989;Africa;43.548;412.9775136;412.98;43.5;3.330.989;;;;;
Burundi;1972;3529983;Africa;44.057;464.0995039;464.1;44.1;3.529.983;;;;;
Burundi;1977;3834415;Africa;45.91;556.1032651;556.1;45.9;3.834.415;;;;;
Burundi;1982;4580410;Africa;47.471;559.603231;559.6;47.5;4.580.410;;;;;
Burundi;1987;5126023;Africa;48.211;621.8188189;621.82;48.2;5.126.023;;;;;
Burundi;1992;5809236;Africa;44.736;631.6998778;631.7;44.7;5.809.236;70.0;0.0;0.0;333.0;0.0
Burundi;1997;6121610;Africa;45.326;463.1151478;463.12;45.3;6.121.610;28677.0;5279.0;0.0;2584.0;0.0
Burundi;2002;7021078;Africa;47.36;446.4035126;446.4;47.4;7.021.078;3840.0;100.0;0.0;5729.0;0.0
Burundi;2007;8390505;Africa;49.58;430.0706916;430.07;49.6;8.390.505;820.0;174.0;0.0;1784.0;0.0
Cambodia;1952;4693836;Asia;39.417;368.4692856;368.47;39.4;4.693.836;;;;;
Cambodia;1957;5322536;Asia;41.366;434.0383364;434.04;41.4;5.322.536;;;;;
Cambodia;1962;6083619;Asia;43.415;496.9136476;496.91;43.4;6.083.619;;;;;
Cambodia;1967;6960067;Asia;45.415;523.4323142;523.43;45.4;6.960.067;;;;;
Cambodia;1972;7450606;Asia;40.317;421.6240257;421.62;40.3;7.450.606;;;;;
Cambodia;1977;6978607;Asia;31.22;524.9721832;524.97;31.2;6.978.607;;;;;
Cambodia;1982;7272485;Asia;50.957;624.4754784;624.48;51.0;7.272.485;;;;;
Cambodia;1987;8371791;Asia;53.914;683.8955732;683.9;53.9;8.371.791;;;;;
Cambodia;1992;10150094;Asia;55.803;682.3031755;682.3;55.8;10.150.094;268.0;0.0;0.0;1424.0;0.0
Cambodia;1997;11782962;Asia;56.534;734.28517;734.29;56.5;11.782.962;394.0;0.0;0.0;2635.0;0.0
Cambodia;2002;12926707;Asia;56.752;896.2260153;896.23;56.8;12.926.707;25.0;0.0;0.0;213.0;0.0
Cambodia;2007;14131858;Asia;59.723;1713.778686;1713.78;59.7;14.131.858;0.0;0.0;0.0;0.0;0.0
Cameroon;1952;5009067;Africa;38.523;1172.667655;1172.67;38.5;5.009.067;;;;;
Cameroon;1957;5359923;Africa;40.428;1313.048099;1313.05;40.4;5.359.923;;;;;
Cameroon;1962;5793633;Africa;42.643;1399.607441;1399.61;42.6;5.793.633;;;;;
Cameroon;1967;6335506;Africa;44.799;1508.453148;1508.45;44.8;6.335.506;;;;;
Cameroon;1972;7021028;Africa;47.049;1684.146528;1684.15;47.0;7.021.028;;;;;
Cameroon;1977;7959865;Africa;49.355;1783.432873;1783.43;49.4;7.959.865;;;;;
Cameroon;1982;9250831;Africa;52.961;2367.983282;2367.98;53.0;9.250.831;;;;;
Cameroon;1987;10780667;Africa;54.985;2602.664206;2602.66;55.0;10.780.667;;;;;
Cameroon;1992;12467171;Africa;54.314;1793.163278;1793.16;54.3;12.467.171;0.0;75.0;0.0;0.0;0.0
Cameroon;1997;14195809;Africa;52.199;1694.337469;1694.34;52.2;14.195.809;55.0;81.0;0.0;0.0;56.0
Cameroon;2002;15929988;Africa;49.856;1934.011449;1934.01;49.9;15.929.988;0.0;51.0;0.0;0.0;0.0
Cameroon;2007;17696293;Africa;50.43;2042.09524;2042.1;50.4;17.696.293;0.0;0.0;0.0;0.0;0.0
Canada;1952;14785584;Americas;68.75;11367.16112;11367.16;68.8;14.785.584;;;;;
Canada;1957;17010154;Americas;69.96;12489.95006;12489.95;70.0;17.010.154;;;;;
Canada;1962;18985849;Americas;71.3;13462.48555;13462.49;71.3;18.985.849;;;;;
Canada;1967;20819767;Americas;72.13;16076.58803;16076.59;72.1;20.819.767;;;;;
Canada;1972;22284500;Americas;72.88;18970.57086;18970.57;72.9;22.284.500;;;;;
Canada;1977;23796400;Americas;74.21;22090.88306;22090.88;74.2;23.796.400;;;;;
Canada;1982;25201900;Americas;75.76;22898.79214;22898.79;75.8;25.201.900;;;;;
Canada;1987;26549700;Americas;76.86;26626.51503;26626.52;76.9;26.549.700;;;;;
Canada;1992;28523502;Americas;77.95;26342.88426;26342.88;78.0;28.523.502;0.0;0.0;0.0;0.0;0.0
Canada;1997;30305843;Americas;78.61;28954.92589;28954.93;78.6;30.305.843;0.0;24.0;0.0;0.0;0.0
Canada;2002;31902268;Americas;79.77;33328.96507;33328.97;79.8;31.902.268;0.0;27.0;0.0;0.0;0.0
Canada;2007;33390141;Americas;80.653;36319.23501;36319.24;80.7;33.390.141;0.0;0.0;0.0;0.0;0.0
Central African Republic;1952;1291695;Africa;35.463;1071.310713;1071.31;35.5;1.291.695;;;;;
Central African Republic;1957;1392284;Africa;37.464;1190.844328;1190.84;37.5;1.392.284;;;;;
Central African Republic;1962;1523478;Africa;39.475;1193.068753;1193.07;39.5;1.523.478;;;;;
Central African Republic;1967;1733638;Africa;41.478;1136.056615;1136.06;41.5;1.733.638;;;;;
Central African Republic;1972;1927260;Africa;43.457;1070.013275;1070.01;43.5;1.927.260;;;;;
Central African Republic;1977;2167533;Africa;46.775;1109.374338;1109.37;46.8;2.167.533;;;;;
Central African Republic;1982;2476971;Africa;48.295;956.7529907;956.75;48.3;2.476.971;;;;;
Central African Republic;1987;2840009;Africa;50.485;844.8763504;844.88;50.5;2.840.009;;;;;
Central African Republic;1992;3265124;Africa;49.396;747.9055252;747.91;49.4;3.265.124;0.0;0.0;0.0;0.0;0.0
Central African Republic;1997;3696513;Africa;46.066;740.5063317;740.51;46.1;3.696.513;0.0;0.0;0.0;0.0;0.0
Central African Republic;2002;4048013;Africa;43.308;738.6906068;738.69;43.3;4.048.013;21.0;0.0;0.0;326.0;0.0
Central African Republic;2007;4369038;Africa;44.741;706.016537;706.02;44.7;4.369.038;281.0;0.0;0.0;46.0;0.0
Chad;1952;2682462;Africa;38.092;1178.665927;1178.67;38.1;2.682.462;;;;;
Chad;1957;2894855;Africa;39.881;1308.495577;1308.5;39.9;2.894.855;;;;;
Chad;1962;3150417;Africa;41.716;1389.817618;1389.82;41.7;3.150.417;;;;;
Chad;1967;3495967;Africa;43.601;1196.810565;1196.81;43.6;3.495.967;;;;;
Chad;1972;3899068;Africa;45.569;1104.103987;1104.1;45.6;3.899.068;;;;;
