country;oneSidedViolence;nonStateConflict;extrasystemic;intrastate;interstate;year;totalWarDeaths
Belize;0;0;0;0;0;1997;0
Belize;0;0;0;0;0;2002;0
Belize;0;0;0;0;0;2007;0
Benin;0;0;0;0;0;1992;0
Benin;0;0;0;0;0;1997;0
Benin;0;0;0;0;0;2002;0
Benin;0;0;0;0;0;2007;0
Bhutan;0;0;0;0;0;1992;0
Bhutan;0;0;0;4;0;1997;4
Bhutan;0;0;0;0;0;2002;0
Bhutan;0;0;0;0;0;2007;0
Bolivia;0;0;0;0;0;1992;0
Bolivia;0;0;0;0;0;1997;0
Bolivia;0;50;0;0;0;2002;50
Bolivia;0;0;0;0;0;2007;0
Bosnia and Herzegovina;4477;1578;0;20840;0;1992;26895
Bosnia and Herzegovina;9232;0;0;29107;0;1997;38339
Bosnia and Herzegovina;0;0;0;0;0;2002;0
Bosnia and Herzegovina;0;0;0;0;0;2007;0
Botswana;1;0;0;0;0;1992;1
Botswana;0;0;0;0;0;1997;0
Botswana;0;0;0;0;0;2002;0
Botswana;0;0;0;0;0;2007;0
Brazil;0;0;0;0;0;1992;0
Brazil;29;102;0;0;0;1997;131
Brazil;28;183;0;0;0;2002;211
Brazil;34;120;0;0;0;2007;154
Brunei;0;0;0;0;0;1992;0
Brunei;0;0;0;0;0;1997;0
Brunei;0;0;0;0;0;2002;0
Brunei;0;0;0;0;0;2007;0
Bulgaria;0;0;0;0;0;1992;0
Bulgaria;0;0;0;0;0;1997;0
Bulgaria;0;0;0;0;0;2002;0
Bulgaria;0;0;0;0;0;2007;0
Burkina Faso;0;0;0;0;0;1992;0
Burkina Faso;0;0;0;0;0;1997;0
Burkina Faso;0;0;0;0;0;2002;0
Burkina Faso;0;0;0;0;0;2007;0
Burundi;70;0;0;333;0;1992;403
Burundi;28677;5279;0;2584;0;1997;36540
Burundi;3840;100;0;5729;0;2002;9669
Burundi;820;174;0;1784;0;2007;2778
Cambodia;268;0;0;1424;0;1992;1692
Cambodia;394;0;0;2635;0;1997;3029
Cambodia;25;0;0;213;0;2002;238
Cambodia;0;0;0;0;0;2007;0
Cameroon;0;75;0;0;0;1992;75
Cameroon;55;81;0;0;56;1997;192
Cameroon;0;51;0;0;0;2002;51
Cameroon;0;0;0;0;0;2007;0
Canada;0;0;0;0;0;1992;0
Canada;0;24;0;0;0;1997;24
Canada;0;27;0;0;0;2002;27
Canada;0;0;0;0;0;2007;0
Cape Verde;0;0;0;0;0;1992;0
Cape Verde;0;0;0;0;0;1997;0
Cape Verde;0;0;0;0;0;2002;0
Cape Verde;0;0;0;0;0;2007;0
Central African Republic;0;0;0;0;0;1992;0
Central African Republic;0;0;0;0;0;1997;0
Central African Republic;21;0;0;326;0;2002;347
Central African Republic;281;0;0;46;0;2007;327
Chad;352;0;0;1669;0;1992;2021
Chad;630;0;0;380;0;1997;1010
Chad;152;72;0;1937;0;2002;2161
Chad;924;340;0;1626;0;2007;2890
Chile;0;0;0;0;0;1992;0
Chile;0;0;0;0;0;1997;0
Chile;0;0;0;0;0;2002;0
Chile;0;0;0;0;0;2007;0
China;2600;0;0;0;0;1992;2600
China;0;0;0;0;0;1997;0
China;0;0;0;0;0;2002;0
China;0;0;0;0;0;2007;0
Colombia;401;41;0;2943;0;1992;3385
Colombia;620;91;0;3880;0;1997;4591
Colombia;7036;2412;0;9635;0;2002;19083
Colombia;5732;727;0;5824;0;2007;12283
Comoros;0;0;0;29;0;1992;29
Comoros;0;0;0;56;0;1997;56
Comoros;0;40;0;0;0;2002;40
Comoros;0;0;0;0;0;2007;0
Congo;0;0;0;0;0;1992;0
Congo;508;0;0;10053;0;1997;10561
Congo;871;0;0;4065;0;2002;4936
Congo;41;0;0;0;0;2007;41
Costa Rica;0;0;0;0;0;1992;0
Costa Rica;0;0;0;0;0;1997;0
Costa Rica;0;0;0;0;0;2002;0
Costa Rica;0;0;0;0;0;2007;0
Cote d'Ivoire;0;0;0;8;0;1992;8
Cote d'Ivoire;10;32;0;0;0;1997;42
Cote d'Ivoire;434;76;0;661;0;2002;1171
Cote d'Ivoire;247;480;0;187;0;2007;914
Croatia;0;307;0;3155;0;1992;3462
Croatia;165;0;0;1174;0;1997;1339
Croatia;0;0;0;0;0;2002;0
Croatia;0;0;0;0;0;2007;0
Cuba;0;0;0;0;0;1992;0
Cuba;0;0;0;0;0;1997;0
Cuba;0;0;0;0;0;2002;0
Cuba;0;0;0;0;0;2007;0
Cyprus;0;0;0;0;0;1992;0
Cyprus;0;0;0;0;0;1997;0
Cyprus;0;0;0;0;0;2002;0
Cyprus;0;0;0;0;0;2007;0
Czechia;0;0;0;0;0;1992;0
Czechia;0;0;0;0;0;1997;0
Czechia;0;0;0;0;0;2002;0
Czechia;0;0;0;0;0;2007;0
Czechoslovakia;0;0;0;0;0;1992;0
Czechoslovakia;0;0;0;0;0;1997;0
Czechoslovakia;0;0;0;0;0;2002;0
Czechoslovakia;0;0;0;0;0;2007;0
Democratic Republic of Congo;274;0;0;0;0;1992;274
Democratic Republic of Congo;42340;4040;0;5971;0;1997;52351
Democratic Republic of Congo;12475;6617;0;8787;0;2002;27879
Democratic Republic of Congo;4704;1028;0;849;0;2007;6581
Denmark;0;0;0;0;0;1992;0
Denmark;0;0;0;0;0;1997;0
Denmark;0;0;0;0;0;2002;0
Denmark;0;0;0;0;0;2007;0
Djibouti;59;0;0;255;0;1992;314
Djibouti;0;17;0;72;0;1997;89
Djibouti;0;0;0;25;0;2002;25
Djibouti;0;0;0;0;0;2007;0
Dominica;0;0;0;0;0;1992;0
Dominica;0;0;0;0;0;1997;0
Dominica;0;0;0;0;0;2002;0
Dominica;0;0;0;0;0;2007;0
Dominican Republic;0;0;0;0;0;1992;0
Dominican Republic;0;0;0;0;0;1997;0
Dominican Republic;0;0;0;0;0;2002;0
Dominican Republic;0;0;0;0;0;2007;0
East Germany;0;0;0;0;0;1992;0
East Germany;0;0;0;0;0;1997;0
East Germany;0;0;0;0;0;2002;0
East Germany;0;0;0;0;0;2007;0
East Timor;302;0;0;39;0;1992;341
East Timor;56;0;0;51;0;1997;107
East Timor;837;0;0;56;0;2002;893
East Timor;0;0;0;0;0;2007;0
Ecuador;0;0;0;0;0;1992;0
Ecuador;0;0;0;0;11;1997;11
Ecuador;0;2;0;2;0;2002;4
Ecuador;25;26;0;1;0;2007;52
Egypt;0;0;0;0;0;1992;0
Egypt;181;0;0;586;0;1997;767
Egypt;0;0;0;27;0;2002;27
Egypt;158;0;0;0;0;2007;158
El Salvador;0;0;0;5861;0;1992;5861
El Salvador;0;0;0;0;0;1997;0
El Salvador;0;0;0;0;0;2002;0
El Salvador;0;34;0;0;0;2007;34
Equatorial Guinea;0;0;0;0;0;1992;0
Equatorial Guinea;0;0;0;0;0;1997;0
Equatorial Guinea;0;0;0;0;0;2002;0
Equatorial Guinea;0;0;0;0;0;2007;0
Eritrea;770;0;0;42576;0;1992;43346
Eritrea;0;0;0;31;0;1997;31
Eritrea;0;0;0;25;95934;2002;95959
Eritrea;0;0;0;57;0;2007;57
Estonia;0;0;0;0;0;1992;0
Estonia;0;0;0;0;0;1997;0
Estonia;0;0;0;0;0;2002;0
Estonia;0;0;0;0;0;2007;0
Eswatini;2;0;0;0;0;1992;2
Eswatini;0;0;0;0;0;1997;0
Eswatini;0;0;0;0;0;2002;0
Eswatini;0;0;0;0;0;2007;0
Ethiopia;436;1016;0;43871;0;1992;45323
Ethiopia;26;1062;0;192;0;1997;1280
Ethiopia;35;2267;0;905;2258;2002;5465
Ethiopia;1008;1228;0;410;0;2007;2646
Europe;5483;2309;0;28515;0;1992;36307
Europe;9734;270;0;39704;0;1997;49708
Europe;3138;38;0;13615;0;2002;16791
Europe;460;0;0;2800;0;2007;3260
Fiji;0;0;0;0;0;1992;0
Fiji;0;0;0;0;0;1997;0
Fiji;0;0;0;0;0;2002;0
Fiji;0;0;0;0;0;2007;0
Finland;0;0;0;0;0;1992;0
Finland;0;0;0;0;0;1997;0
Finland;0;0;0;0;0;2002;0
Finland;0;0;0;0;0;2007;0
France;0;0;0;0;0;1992;0
France;0;0;0;0;0;1997;0
France;0;0;0;0;0;2002;0
France;0;0;0;0;0;2007;0
Gabon;0;0;0;0;0;1992;0
Gabon;0;0;0;0;0;1997;0
Gabon;0;0;0;0;0;2002;0
Gabon;0;0;0;0;0;2007;0
Gambia;0;0;0;0;0;1992;0
Gambia;0;0;0;0;0;1997;0
Gambia;0;0;0;0;0;2002;0
Gambia;8;0;0;0;0;2007;8
Georgia;0;87;0;823;0;1992;910
Georgia;126;26;0;1763;0;1997;1915
Georgia;0;38;0;0;0;2002;38
Georgia;0;0;0;27;0;2007;27
Germany;0;0;0;4;0;1992;4
Germany;0;0;0;0;0;1997;0
Germany;0;0;0;0;0;2002;0
Germany;0;0;0;0;0;2007;0
Ghana;0;93;0;0;0;1992;93
Ghana;0;2159;0;0;0;1997;2159
Ghana;0;116;0;0;0;2002;116
Ghana;0;0;0;0;0;2007;0
Greece;0;0;0;0;0;1992;0
Greece;0;0;0;0;0;1997;0
Greece;0;0;0;0;0;2002;0
Greece;0;0;0;0;0;2007;0
Greenland;0;0;0;0;0;1992;0
Greenland;0;0;0;0;0;1997;0
Greenland;0;0;0;0;0;2002;0
Greenland;0;0;0;0;0;2007;0
Grenada;0;0;0;0;0;1992;0
Grenada;0;0;0;0;0;1997;0
Grenada;0;0;0;0;0;2002;0
Grenada;0;0;0;0;0;2007;0
Guatemala;1687;0;0;302;0;1992;1989
Guatemala;505;0;0;122;0;1997;627
Guatemala;0;0;0;0;0;2002;0
Guatemala;0;56;0;0;0;2007;56
Guinea;0;0;0;0;0;1992;0
Guinea;27;0;0;0;0;1997;27
Guinea;22;31;0;647;0;2002;700
Guinea;45;0;0;0;0;2007;45
Guinea-Bissau;0;0;0;2;0;1992;2
Guinea-Bissau;0;0;0;0;0;1997;0
Guinea-Bissau;0;0;0;704;0;2002;704
Guinea-Bissau;0;0;0;0;0;2007;0
Guyana;0;0;0;0;0;1992;0
Guyana;0;0;0;0;0;1997;0
Guyana;0;0;0;0;0;2002;0
Guyana;0;0;0;0;0;2007;0
Haiti;70;40;0;208;0;1992;318
Haiti;81;0;0;0;0;1997;81
Haiti;0;0;0;0;0;2002;0
Haiti;40;0;0;207;0;2007;247
Honduras;0;0;0;0;0;1992;0
Honduras;0;0;0;0;0;1997;0
Honduras;0;0;0;0;0;2002;0
Honduras;28;0;0;0;0;2007;28
Hungary;0;0;0;0;0;1992;0
Hungary;0;0;0;0;0;1997;0
Hungary;0;0;0;0;0;2002;0
Hungary;0;0;0;0;0;2007;0
Iceland;0;0;0;0;0;1992;0
Iceland;0;0;0;0;0;1997;0
Iceland;0;0;0;0;0;2002;0
Iceland;0;0;0;0;0;2007;0
India;1740;2998;0;9479;147;1992;14364
India;1081;921;0;5182;116;1997;7300
India;3207;364;0;7778;1237;2002;12586
India;2754;211;0;7102;66;2007;10133
Indonesia;194;0;0;130;0;1992;324
Indonesia;11;361;0;0;0;1997;372
Indonesia;604;2362;0;1217;0;2002;4183
Indonesia;263;49;0;2016;0;2007;2328
Iran;0;0;0;134;0;1992;134
Iran;0;0;0;252;0;1997;252
Iran;0;0;0;165;0;2002;165
Iran;25;0;0;166;0;2007;191
Iraq;1924;345;0;1990;21247;1992;25506
Iraq;385;1813;0;3025;0;1997;5223
Iraq;80;217;0;441;0;2002;738
Iraq;3810;340;0;12848;7927;2007;24925
Ireland;0;0;0;0;0;1992;0
Ireland;0;0;0;0;0;1997;0
Ireland;0;0;0;0;0;2002;0
Ireland;0;0;0;0;0;2007;0
Israel;5;0;0;11;0;1992;16
Israel;82;0;0;63;0;1997;145
Israel;282;0;0;124;0;2002;406
Israel;163;0;0;167;0;2007;330
Italy;0;0;0;0;0;1992;0
Italy;0;0;0;0;0;1997;0
Italy;0;0;0;0;0;2002;0
Italy;0;0;0;0;0;2007;0
Jamaica;0;0;0;0;0;1992;0
Jamaica;0;0;0;0;0;1997;0
Jamaica;0;116;0;0;0;2002;116
Jamaica;0;0;0;0;0;2007;0
Japan;0;0;0;0;0;1992;0
Japan;0;0;0;0;0;1997;0
Japan;0;0;0;0;0;2002;0
Japan;0;0;0;0;0;2007;0
Jordan;1;0;0;0;0;1992;1
Jordan;0;0;0;0;0;1997;0
Jordan;0;0;0;0;0;2002;0
Jordan;59;0;0;0;0;2007;59
Kazakhstan;0;0;0;0;0;1992;0
Kazakhstan;0;0;0;0;0;1997;0
Kazakhstan;0;0;0;0;0;2002;0
Kazakhstan;0;0;0;0;0;2007;0
Kenya;0;211;0;0;0;1992;211
Kenya;0;681;0;0;0;1997;681
Kenya;13;884;0;28;0;2002;925
Kenya;134;351;0;1;0;2007;486
Kiribati;0;0;0;0;0;1992;0
Kiribati;0;0;0;0;0;1997;0
Kiribati;0;0;0;0;0;2002;0
Kiribati;0;0;0;0;0;2007;0
Kosovo;0;0;0;0;0;1992;0
Kosovo;0;0;0;0;0;1997;0
Kosovo;984;0;0;1740;0;2002;2724
Kosovo;0;0;0;0;0;2007;0
Kuwait;285;0;0;0;1504;1992;1789
Kuwait;1;0;0;0;0;1997;1
Kuwait;0;0;0;0;0;2002;0
Kuwait;0;0;0;0;0;2007;0
Kyrgyzstan;0;171;0;0;0;1992;171
Kyrgyzstan;0;0;0;0;0;1997;0
Kyrgyzstan;0;0;0;177;0;2002;177
Kyrgyzstan;0;0;0;0;0;2007;0
Laos;0;0;0;279;0;1992;279
Laos;0;0;0;0;0;1997;0
Laos;0;0;0;0;0;2002;0
Laos;73;0;0;0;0;2007;73
Latvia;3;0;0;0;0;1992;3
Latvia;0;0;0;0;0;1997;0
Latvia;0;0;0;0;0;2002;0
Latvia;0;0;0;0;0;2007;0
Lebanon;0;1475;0;1642;0;1992;3117
Lebanon;103;110;0;456;0;1997;669
Lebanon;0;88;0;120;0;2002;208
Lebanon;0;0;0;1184;0;2007;1184
Lesotho;0;0;0;0;0;1992;0
Lesotho;0;0;0;0;0;1997;0
Lesotho;0;0;0;78;0;2002;78
Lesotho;0;0;0;0;0;2007;0
Liberia;4005;406;0;366;0;1992;4777
Liberia;9562;2606;0;5;0;1997;12173
Liberia;2001;0;0;890;0;2002;2891
Liberia;1494;0;0;1787;0;2007;3281
Libya;0;0;0;0;0;1992;0
Libya;0;0;0;24;0;1997;24
Libya;0;0;0;0;0;2002;0
Libya;0;0;0;0;0;2007;0
Liechtenstein;0;0;0;0;0;1992;0
Liechtenstein;0;0;0;0;0;1997;0
Liechtenstein;0;0;0;0;0;2002;0
Liechtenstein;0;0;0;0;0;2007;0
Lithuania;15;0;0;0;0;1992;15
Lithuania;0;0;0;0;0;1997;0
Lithuania;0;0;0;0;0;2002;0
Lithuania;0;0;0;0;0;2007;0
Luxembourg;0;0;0;0;0;1992;0
Luxembourg;0;0;0;0;0;1997;0
Luxembourg;0;0;0;0;0;2002;0
Luxembourg;0;0;0;0;0;2007;0
Madagascar;0;0;0;0;0;1992;0
Madagascar;0;0;0;0;0;1997;0
Madagascar;0;79;0;0;0;2002;79
Madagascar;0;0;0;0;0;2007;0
Malawi;0;0;0;0;0;1992;0
Malawi;0;0;0;0;0;1997;0
Malawi;0;0;0;0;0;2002;0
Malawi;0;0;0;0;0;2007;0
Malaysia;0;0;0;0;0;1992;0
Malaysia;0;0;0;0;0;1997;0
Malaysia;0;0;0;0;0;2002;0
Malaysia;0;0;0;0;0;2007;0
Maldives;0;0;0;0;0;1992;0
Maldives;0;0;0;0;0;1997;0
Maldives;0;0;0;0;0;2002;0
Maldives;1;0;0;0;0;2007;1
Mali;378;0;0;516;0;1992;894
Mali;593;52;0;86;0;1997;731
Mali;0;59;0;0;0;2002;59
Mali;0;0;0;51;0;2007;51
Malta;0;0;0;0;0;1992;0
Malta;0;0;0;0;0;1997;0
Malta;0;0;0;0;0;2002;0
Malta;0;0;0;0;0;2007;0
Marshall Islands;0;0;0;0;0;1992;0
Marshall Islands;0;0;0;0;0;1997;0
Marshall Islands;0;0;0;0;0;2002;0
Marshall Islands;0;0;0;0;0;2007;0
Mauritania;46;102;0;0;0;1992;148
Mauritania;0;0;0;20;0;1997;20
Mauritania;0;0;0;0;0;2002;0
Mauritania;4;0;0;0;0;2007;4
Mauritius;0;0;0;0;0;1992;0
Mauritius;0;0;0;0;0;1997;0
Mauritius;0;0;0;0;0;2002;0
Mauritius;0;0;0;0;0;2007;0
Mexico;0;0;0;2;0;1992;2
Mexico;45;28;0;182;0;1997;255
Mexico;0;26;0;0;0;2002;26
Mexico;0;3028;0;0;0;2007;3028
Micronesia;0;0;0;0;0;1992;0
Micronesia;0;0;0;0;0;1997;0
Micronesia;0;0;0;0;0;2002;0
Micronesia;0;0;0;0;0;2007;0
Middle East;2721;1820;0;6827;22847;1992;34215
Middle East;1493;2066;0;22123;0;1997;25682
Middle East;491;305;0;5097;0;2002;5893
Middle East;4396;640;0;17157;7927;2007;30120
Moldova;0;0;0;585;0;1992;585
Moldova;0;0;0;0;0;1997;0
Moldova;0;0;0;0;0;2002;0
Moldova;0;0;0;0;0;2007;0
Monaco;0;0;0;0;0;1992;0
Monaco;0;0;0;0;0;1997;0
Monaco;0;0;0;0;0;2002;0
Monaco;0;0;0;0;0;2007;0
Mongolia;0;0;0;0;0;1992;0
Mongolia;0;0;0;0;0;1997;0
Mongolia;0;0;0;0;0;2002;0
Mongolia;0;0;0;0;0;2007;0
Montenegro;0;0;0;0;0;1992;0
Montenegro;0;0;0;0;0;1997;0
Montenegro;0;0;0;11;0;2002;11
Montenegro;0;0;0;0;0;2007;0
Morocco;0;0;0;0;0;1992;0
Morocco;0;0;0;0;0;1997;0
Morocco;0;0;0;0;0;2002;0
Morocco;34;0;0;0;0;2007;34
Mozambique;1344;88;0;4361;0;1992;5793
Mozambique;0;0;0;0;0;1997;0
Mozambique;0;0;0;0;0;2002;0
Mozambique;0;0;0;0;0;2007;0
Myanmar;309;589;0;4428;0;1992;5326
Myanmar;951;1101;0;1684;0;1997;3736
Myanmar;1542;193;0;755;0;2002;2490
Myanmar;919;153;0;796;0;2007;1868
Namibia;0;0;0;361;0;1992;361
Namibia;0;0;0;0;0;1997;0
Namibia;6;0;0;56;0;2002;62
Namibia;0;0;0;0;0;2007;0
Nauru;0;0;0;0;0;1992;0
Nauru;0;0;0;0;0;1997;0
Nauru;0;0;0;0;0;2002;0
Nauru;0;0;0;0;0;2007;0
Nepal;2;0;0;0;0;1992;2
Nepal;27;0;0;84;0;1997;111
Nepal;968;0;0;5049;0;2002;6017
Nepal;1371;30;0;4782;0;2007;6183
Netherlands;0;0;0;2;0;1992;2
Netherlands;0;0;0;0;0;1997;0
Netherlands;0;0;0;0;0;2002;0
Netherlands;0;0;0;0;0;2007;0
New Zealand;0;0;0;0;0;1992;0
New Zealand;0;0;0;0;0;1997;0
New Zealand;0;0;0;0;0;2002;0
New Zealand;0;0;0;0;0;2007;0
Nicaragua;0;0;0;565;0;1992;565
Nicaragua;0;0;0;0;0;1997;0
Nicaragua;0;0;0;0;0;2002;0
Nicaragua;0;0;0;0;0;2007;0
Niger;370;0;0;69;0;1992;439
Niger;31;12;0;146;0;1997;189
Niger;147;0;0;0;0;2002;147
Niger;0;0;0;85;0;2007;85
Nigeria;80;1322;0;0;0;1992;1402
Nigeria;56;1847;0;0;0;1997;1903
Nigeria;3057;5817;0;0;0;2002;8874
Nigeria;133;2692;0;151;0;2007;2976
North Korea;0;0;0;0;0;1992;0
North Korea;0;0;0;0;0;1997;0
North Korea;0;0;0;0;0;2002;0
North Korea;0;0;0;0;0;2007;0
North Macedonia;0;0;0;0;0;1992;0
North Macedonia;0;0;0;0;0;1997;0
North Macedonia;6;0;0;75;0;2002;81
North Macedonia;0;0;0;0;0;2007;0
Norway;0;0;0;0;0;1992;0
Norway;0;0;0;0;0;1997;0
Norway;0;0;0;0;0;2002;0
Norway;0;0;0;0;0;2007;0
Oman;0;0;0;0;0;1992;0
Oman;0;0;0;0;0;1997;0
Oman;0;0;0;0;0;2002;0
Oman;0;0;0;0;0;2007;0
Pakistan;0;470;0;70;30;1992;570
Pakistan;0;235;0;149;88;1997;472
Pakistan;51;38;0;87;329;2002;505
Pakistan;194;540;0;1750;171;2007;2655
Palau;0;0;0;0;0;1992;0
Palau;0;0;0;0;0;1997;0
Palau;0;0;0;0;0;2002;0
Palau;0;0;0;0;0;2007;0
Palestine;57;0;0;59;0;1992;116
Palestine;16;0;0;136;0;1997;152
Palestine;65;0;0;811;0;2002;876
Palestine;78;271;0;1390;0;2007;1739
Panama;0;0;0;77;843;1992;920
Panama;0;0;0;0;0;1997;0
Panama;0;0;0;0;0;2002;0
Panama;0;0;0;0;0;2007;0
Papua New Guinea;27;0;0;88;0;1992;115
Papua New Guinea;28;0;0;167;0;1997;195
Papua New Guinea;0;161;0;0;0;2002;161
Papua New Guinea;0;0;0;0;0;2007;0
Paraguay;0;0;0;150;0;1992;150
Paraguay;0;0;0;0;0;1997;0
Paraguay;0;0;0;0;0;2002;0
Paraguay;0;0;0;0;0;2007;0
Peru;498;50;0;5106;0;1992;5654
Peru;179;0;0;1276;88;1997;1543
Peru;0;0;0;100;0;2002;100
Peru;0;0;0;32;0;2007;32
Philippines;65;0;0;4197;1;1992;4263
Philippines;25;43;0;1152;0;1997;1220
Philippines;243;30;0;3522;0;2002;3795
Philippines;228;25;0;2659;0;2007;2912
Poland;0;0;0;0;0;1992;0
Poland;0;0;0;0;0;1997;0
Poland;0;0;0;0;0;2002;0
Poland;0;0;0;0;0;2007;0
Portugal;0;0;0;0;0;1992;0
Portugal;0;0;0;0;0;1997;0
Portugal;0;0;0;0;0;2002;0
Portugal;0;0;0;0;0;2007;0
Qatar;0;0;0;0;0;1992;0
Qatar;0;0;0;0;0;1997;0
Qatar;0;0;0;0;0;2002;0
Qatar;0;0;0;0;0;2007;0
Romania;199;0;0;249;0;1992;448
Romania;0;0;0;0;0;1997;0
Romania;0;0;0;0;0;2002;0
Romania;0;0;0;0;0;2007;0
Russia;0;0;0;0;0;1992;0
Russia;179;244;0;4849;0;1997;5272
Russia;2146;0;0;10841;0;2002;12987
Russia;217;0;0;2748;0;2007;2965
Rwanda;3013;0;0;1366;0;1992;4379
Rwanda;782261;92;0;3344;0;1997;785697
Rwanda;708;0;0;3139;0;2002;3847
Rwanda;0;0;0;0;0;2007;0
Saint Kitts and Nevis;0;0;0;0;0;1992;0
Saint Kitts and Nevis;0;0;0;0;0;1997;0
Saint Kitts and Nevis;0;0;0;0;0;2002;0
Saint Kitts and Nevis;0;0;0;0;0;2007;0
Saint Lucia;0;0;0;0;0;1992;0
Saint Lucia;0;0;0;0;0;1997;0
Saint Lucia;0;0;0;0;0;2002;0
Saint Lucia;0;0;0;0;0;2007;0
Saint Vincent and the Grenadines;0;0;0;0;0;1992;0
Saint Vincent and the Grenadines;0;0;0;0;0;1997;0
Saint Vincent and the Grenadines;0;0;0;0;0;2002;0
Saint Vincent and the Grenadines;0;0;0;0;0;2007;0
Samoa;0;0;0;0;0;1992;0
Samoa;0;0;0;0;0;1997;0
Samoa;0;0;0;0;0;2002;0
Samoa;0;0;0;0;0;2007;0
San Marino;0;0;0;0;0;1992;0
San Marino;0;0;0;0;0;1997;0
San Marino;0;0;0;0;0;2002;0
San Marino;0;0;0;0;0;2007;0
Sao Tome and Principe;0;0;0;0;0;1992;0
Sao Tome and Principe;0;0;0;0;0;1997;0
Sao Tome and Principe;0;0;0;0;0;2002;0
Sao Tome and Principe;0;0;0;0;0;2007;0
Saudi Arabia;0;0;0;0;96;1992;96
Saudi Arabia;0;0;0;0;0;1997;0
Saudi Arabia;0;0;0;0;0;2002;0
Saudi Arabia;59;0;0;102;0;2007;161
Senegal;62;119;0;134;0;1992;315
Senegal;88;0;0;851;0;1997;939
Senegal;119;0;0;322;0;2002;441
Senegal;45;124;0;39;0;2007;208
