country;year;pop;continent;lifeExp;gdpPercap
Burkina Faso;1967;5127935;Africa;40.7;794.83
Burkina Faso;1972;5433886;Africa;43.6;854.74
Burkina Faso;1977;5889574;Africa;46.1;743.39
Burkina Faso;1982;6634596;Africa;48.1;807.2
Burkina Faso;1987;7586551;Africa;49.6;912.06
Burkina Faso;1992;8878303;Africa;50.3;931.75
Burkina Faso;1997;10352843;Africa;50.3;946.29
Burkina Faso;2002;12251209;Africa;50.6;1037.65
Burkina Faso;2007;14326203;Africa;52.3;1217.03
Burundi;1952;2445618;Africa;39.0;339.3
Burundi;1957;2667518;Africa;40.5;379.56
Burundi;1962;2961915;Africa;42.0;355.2
Burundi;1967;3330989;Africa;43.5;412.98
Burundi;1972;3529983;Africa;44.1;464.1
Burundi;1977;3834415;Africa;45.9;556.1
Burundi;1982;4580410;Africa;47.5;559.6
Burundi;1987;5126023;Africa;48.2;621.82
Burundi;1992;5809236;Africa;44.7;631.7
Burundi;1997;6121610;Africa;45.3;463.12
Burundi;2002;7021078;Africa;47.4;446.4
Burundi;2007;8390505;Africa;49.6;430.07
Cambodia;1952;4693836;Asia;39.4;368.47
Cambodia;1957;5322536;Asia;41.4;434.04
Cambodia;1962;6083619;Asia;43.4;496.91
Cambodia;1967;6960067;Asia;45.4;523.43
Cambodia;1972;7450606;Asia;40.3;421.62
Cambodia;1977;6978607;Asia;31.2;524.97
Cambodia;1982;7272485;Asia;51.0;624.48
Cambodia;1987;8371791;Asia;53.9;683.9
Cambodia;1992;10150094;Asia;55.8;682.3
Cambodia;1997;11782962;Asia;56.5;734.29
Cambodia;2002;12926707;Asia;56.8;896.23
Cambodia;2007;14131858;Asia;59.7;1713.78
Cameroon;1952;5009067;Africa;38.5;1172.67
Cameroon;1957;5359923;Africa;40.4;1313.05
Cameroon;1962;5793633;Africa;42.6;1399.61
Cameroon;1967;6335506;Africa;44.8;1508.45
Cameroon;1972;7021028;Africa;47.0;1684.15
Cameroon;1977;7959865;Africa;49.4;1783.43
Cameroon;1982;9250831;Africa;53.0;2367.98
Cameroon;1987;10780667;Africa;55.0;2602.66
Cameroon;1992;12467171;Africa;54.3;1793.16
Cameroon;1997;14195809;Africa;52.2;1694.34
Cameroon;2002;15929988;Africa;49.9;1934.01
Cameroon;2007;17696293;Africa;50.4;2042.1
Canada;1952;14785584;Americas;68.8;11367.16
Canada;1957;17010154;Americas;70.0;12489.95
Canada;1962;18985849;Americas;71.3;13462.49
Canada;1967;20819767;Americas;72.1;16076.59
Canada;1972;22284500;Americas;72.9;18970.57
Canada;1977;23796400;Americas;74.2;22090.88
Canada;1982;25201900;Americas;75.8;22898.79
Canada;1987;26549700;Americas;76.9;26626.52
Canada;1992;28523502;Americas;78.0;26342.88
Canada;1997;30305843;Americas;78.6;28954.93
Canada;2002;31902268;Americas;79.8;33328.97
Canada;2007;33390141;Americas;80.7;36319.24
Central African Republic;1952;1291695;Africa;35.5;1071.31
Central African Republic;1957;1392284;Africa;37.5;1190.84
Central African Republic;1962;1523478;Africa;39.5;1193.07
Central African Republic;1967;1733638;Africa;41.5;1136.06
Central African Republic;1972;1927260;Africa;43.5;1070.01
Central African Republic;1977;2167533;Africa;46.8;1109.37
Central African Republic;1982;2476971;Africa;48.3;956.75
Central African Republic;1987;2840009;Africa;50.5;844.88
Central African Republic;1992;3265124;Africa;49.4;747.91
Central African Republic;1997;3696513;Africa;46.1;740.51
Central African Republic;2002;4048013;Africa;43.3;738.69
Central African Republic;2007;4369038;Africa;44.7;706.02
Chad;1952;2682462;Africa;38.1;1178.67
Chad;1957;2894855;Africa;39.9;1308.5
Chad;1962;3150417;Africa;41.7;1389.82
Chad;1967;3495967;Africa;43.6;1196.81
Chad;1972;3899068;Africa;45.6;1104.1
Chad;1977;4388260;Africa;47.4;1133.98
Chad;1982;4875118;Africa;49.5;797.91
Chad;1987;5498955;Africa;51.1;952.39
Chad;1992;6429417;Africa;51.7;1058.06
Chad;1997;7562011;Africa;51.6;1004.96
Chad;2002;8835739;Africa;50.5;1156.18
Chad;2007;10238807;Africa;50.7;1704.06
Chile;1952;6377619;Americas;54.7;3939.98
Chile;1957;7048426;Americas;56.1;4315.62
Chile;1962;7961258;Americas;57.9;4519.09
Chile;1967;8858908;Americas;60.5;5106.65
Chile;1972;9717524;Americas;63.4;5494.02
Chile;1977;10599793;Americas;67.1;4756.76
Chile;1982;11487112;Americas;70.6;5095.67
Chile;1987;12463354;Americas;72.5;5547.06
Chile;1992;13572994;Americas;74.1;7596.13
Chile;1997;14599929;Americas;75.8;10118.05
Chile;2002;15497046;Americas;77.9;10778.78
Chile;2007;16284741;Americas;78.6;13171.64
China;1952;556263527;Asia;44.0;400.45
China;1957;637408000;Asia;50.5;575.99
China;1962;665770000;Asia;44.5;487.67
China;1967;754550000;Asia;58.4;612.71
China;1972;862030000;Asia;63.1;676.9
China;1977;943455000;Asia;64.0;741.24
China;1982;1000281000;Asia;65.5;962.42
China;1987;1084035000;Asia;67.3;1378.9
China;1992;1164970000;Asia;68.7;1655.78
China;1997;1230075000;Asia;70.4;2289.23
China;2002;1280400000;Asia;72.0;3119.28
China;2007;1318683096;Asia;73.0;4959.11
Colombia;1952;12350771;Americas;50.6;2144.12
Colombia;1957;14485993;Americas;55.1;2323.81
Colombia;1962;17009885;Americas;57.9;2492.35
Colombia;1967;19764027;Americas;60.0;2678.73
Colombia;1972;22542890;Americas;61.6;3264.66
Colombia;1977;25094412;Americas;63.8;3815.81
Colombia;1982;27764644;Americas;66.7;4397.58
Colombia;1987;30964245;Americas;67.8;4903.22
Colombia;1992;34202721;Americas;68.4;5444.65
Colombia;1997;37657830;Americas;70.3;6117.36
Colombia;2002;41008227;Americas;71.7;5755.26
Colombia;2007;44227550;Americas;72.9;7006.58
Comoros;1952;153936;Africa;40.7;1102.99
Comoros;1957;170928;Africa;42.5;1211.15
Comoros;1962;191689;Africa;44.5;1406.65
Comoros;1967;217378;Africa;46.5;1876.03
Comoros;1972;250027;Africa;48.9;1937.58
Comoros;1977;304739;Africa;50.9;1172.6
Comoros;1982;348643;Africa;52.9;1267.1
Comoros;1987;395114;Africa;54.9;1315.98
Comoros;1992;454429;Africa;57.9;1246.91
Comoros;1997;527982;Africa;60.7;1173.62
Comoros;2002;614382;Africa;63.0;1075.81
Comoros;2007;710960;Africa;65.2;986.15
Congo Dem. Rep.;1952;14100005;Africa;39.1;780.54
Congo Dem. Rep.;1957;15577932;Africa;40.7;905.86
Congo Dem. Rep.;1962;17486434;Africa;42.1;896.31
Congo Dem. Rep.;1967;19941073;Africa;44.1;861.59
Congo Dem. Rep.;1972;23007669;Africa;46.0;904.9
Congo Dem. Rep.;1977;26480870;Africa;47.8;795.76
Congo Dem. Rep.;1982;30646495;Africa;47.8;673.75
Congo Dem. Rep.;1987;35481645;Africa;47.4;672.77
Congo Dem. Rep.;1992;41672143;Africa;45.5;457.72
Congo Dem. Rep.;1997;47798986;Africa;42.6;312.19
Congo Dem. Rep.;2002;55379852;Africa;45.0;241.17
Congo Dem. Rep.;2007;64606759;Africa;46.5;277.55
Congo Rep.;1952;854885;Africa;42.1;2125.62
Congo Rep.;1957;940458;Africa;45.1;2315.06
Congo Rep.;1962;1047924;Africa;48.4;2464.78
Congo Rep.;1967;1179760;Africa;52.0;2677.94
Congo Rep.;1972;1340458;Africa;54.9;3213.15
Congo Rep.;1977;1536769;Africa;55.6;3259.18
Congo Rep.;1982;1774735;Africa;56.7;4879.51
Congo Rep.;1987;2064095;Africa;57.5;4201.19
Congo Rep.;1992;2409073;Africa;56.4;4016.24
Congo Rep.;1997;2800947;Africa;53.0;3484.16
Congo Rep.;2002;3328795;Africa;53.0;3484.06
Congo Rep.;2007;3800610;Africa;55.3;3632.56
Costa Rica;1952;926317;Americas;57.2;2627.01
Costa Rica;1957;1112300;Americas;60.0;2990.01
Costa Rica;1962;1345187;Americas;62.8;3460.94
Costa Rica;1967;1588717;Americas;65.4;4161.73
Costa Rica;1972;1834796;Americas;67.8;5118.15
Costa Rica;1977;2108457;Americas;70.8;5926.88
Costa Rica;1982;2424367;Americas;73.4;5262.73
Costa Rica;1987;2799811;Americas;74.8;5629.92
Costa Rica;1992;3173216;Americas;75.7;6160.42
Costa Rica;1997;3518107;Americas;77.3;6677.05
Costa Rica;2002;3834934;Americas;78.1;7723.45
Costa Rica;2007;4133884;Americas;78.8;9645.06
Cote d'Ivoire;1952;2977019;Africa;40.5;1388.59
Cote d'Ivoire;1957;3300000;Africa;42.5;1500.9
Cote d'Ivoire;1962;3832408;Africa;44.9;1728.87
Cote d'Ivoire;1967;4744870;Africa;47.4;2052.05
Cote d'Ivoire;1972;6071696;Africa;49.8;2378.2
Cote d'Ivoire;1977;7459574;Africa;52.4;2517.74
Cote d'Ivoire;1982;9025951;Africa;54.0;2602.71
Cote d'Ivoire;1987;10761098;Africa;54.7;2156.96
Cote d'Ivoire;1992;12772596;Africa;52.0;1648.07
Cote d'Ivoire;1997;14625967;Africa;48.0;1786.27
Cote d'Ivoire;2002;16252726;Africa;46.8;1648.8
Cote d'Ivoire;2007;18013409;Africa;48.3;1544.75
Croatia;1952;3882229;Europe;61.2;3119.24
Croatia;1957;3991242;Europe;64.8;4338.23
Croatia;1962;4076557;Europe;67.1;5477.89
Croatia;1967;4174366;Europe;68.5;6960.3
Croatia;1972;4225310;Europe;69.6;9164.09
Croatia;1977;4318673;Europe;70.6;11305.39
Croatia;1982;4413368;Europe;70.5;13221.82
Croatia;1987;4484310;Europe;71.5;13822.58
Croatia;1992;4494013;Europe;72.5;8447.79
Croatia;1997;4444595;Europe;73.7;9875.6
Croatia;2002;4481020;Europe;74.9;11628.39
Croatia;2007;4493312;Europe;75.7;14619.22
Cuba;1952;6007797;Americas;59.4;5586.54
Cuba;1957;6640752;Americas;62.3;6092.17
Cuba;1962;7254373;Americas;65.2;5180.76
Cuba;1967;8139332;Americas;68.3;5690.27
Cuba;1972;8831348;Americas;70.7;5305.45
Cuba;1977;9537988;Americas;72.6;6380.49
Cuba;1982;9789224;Americas;73.7;7316.92
Cuba;1987;10239839;Americas;74.2;7532.92
Cuba;1992;10723260;Americas;74.4;5592.84
Cuba;1997;10983007;Americas;76.2;5431.99
Cuba;2002;11226999;Americas;77.2;6340.65
Cuba;2007;11416987;Americas;78.3;8948.1
Czech Republic;1952;9125183;Europe;66.9;6876.14
Czech Republic;1957;9513758;Europe;69.0;8256.34
Czech Republic;1962;9620282;Europe;69.9;10136.87
Czech Republic;1967;9835109;Europe;70.4;11399.44
Czech Republic;1972;9862158;Europe;70.3;13108.45
Czech Republic;1977;10161915;Europe;70.7;14800.16
Czech Republic;1982;10303704;Europe;71.0;15377.23
Czech Republic;1987;10311597;Europe;71.6;16310.44
Czech Republic;1992;10315702;Europe;72.4;14297.02
Czech Republic;1997;10300707;Europe;74.0;16048.51
Czech Republic;2002;10256295;Europe;75.5;17596.21
Czech Republic;2007;10228744;Europe;76.5;22833.31
Denmark;1952;4334000;Europe;70.8;9692.39
Denmark;1957;4487831;Europe;71.8;11099.66
Denmark;1962;4646899;Europe;72.4;13583.31
Denmark;1967;4838800;Europe;73.0;15937.21
Denmark;1972;4991596;Europe;73.5;18866.21
Denmark;1977;5088419;Europe;74.7;20422.9
Denmark;1982;5117810;Europe;74.6;21688.04
Denmark;1987;5127024;Europe;74.8;25116.18
Denmark;1992;5171393;Europe;75.3;26406.74
Denmark;1997;5283663;Europe;76.1;29804.35
Denmark;2002;5374693;Europe;77.2;32166.5
Denmark;2007;5468120;Europe;78.3;35278.42
Djibouti;1952;63149;Africa;34.8;2669.53
Djibouti;1957;71851;Africa;37.3;2864.97
Djibouti;1962;89898;Africa;39.7;3020.99
Djibouti;1967;127617;Africa;42.1;3020.05
Djibouti;1972;178848;Africa;44.4;3694.21
Djibouti;1977;228694;Africa;46.5;3081.76
Djibouti;1982;305991;Africa;48.8;2879.47
Djibouti;1987;311025;Africa;50.0;2880.1
Djibouti;1992;384156;Africa;51.6;2377.16
Djibouti;1997;417908;Africa;53.2;1895.02
Djibouti;2002;447416;Africa;53.4;1908.26
Djibouti;2007;496374;Africa;54.8;2082.48
Dominican Republic;1952;2491346;Americas;45.9;1397.72
Dominican Republic;1957;2923186;Americas;49.8;1544.4
Dominican Republic;1962;3453434;Americas;53.5;1662.14
Dominican Republic;1967;4049146;Americas;56.8;1653.72
Dominican Republic;1972;4671329;Americas;59.6;2189.87
Dominican Republic;1977;5302800;Americas;61.8;2681.99
Dominican Republic;1982;5968349;Americas;63.7;2861.09
Dominican Republic;1987;6655297;Americas;66.0;2899.84
Dominican Republic;1992;7351181;Americas;68.5;3044.21
Dominican Republic;1997;7992357;Americas;70.0;3614.1
Dominican Republic;2002;8650322;Americas;70.8;4563.81
Dominican Republic;2007;9319622;Americas;72.2;6025.37
Ecuador;1952;3548753;Americas;48.4;3522.11
Ecuador;1957;4058385;Americas;51.4;3780.55
Ecuador;1962;4681707;Americas;54.6;4086.11
Ecuador;1967;5432424;Americas;56.7;4579.07
Ecuador;1972;6298651;Americas;58.8;5280.99
Ecuador;1977;7278866;Americas;61.3;6679.62
Ecuador;1982;8365850;Americas;64.3;7213.79
Ecuador;1987;9545158;Americas;67.2;6481.78
Ecuador;1992;10748394;Americas;69.6;7103.7
Ecuador;1997;11911819;Americas;72.3;7429.46
Ecuador;2002;12921234;Americas;74.2;5773.04
Ecuador;2007;13755680;Americas;75.0;6873.26
Egypt;1952;22223309;Africa;41.9;1418.82
Egypt;1957;25009741;Africa;44.4;1458.92
Egypt;1962;28173309;Africa;47.0;1693.34
Egypt;1967;31681188;Africa;49.3;1814.88
Egypt;1972;34807417;Africa;51.1;2024.01
Egypt;1977;38783863;Africa;53.3;2785.49
Egypt;1982;45681811;Africa;56.0;3503.73
Egypt;1987;52799062;Africa;59.8;3885.46
Egypt;1992;59402198;Africa;63.7;3794.76
Egypt;1997;66134291;Africa;67.2;4173.18
Egypt;2002;73312559;Africa;69.8;4754.6
Egypt;2007;80264543;Africa;71.3;5581.18
El Salvador;1952;2042865;Americas;45.3;3048.3
El Salvador;1957;2355805;Americas;48.6;3421.52
El Salvador;1962;2747687;Americas;52.3;3776.8
El Salvador;1967;3232927;Americas;55.9;4358.6
El Salvador;1972;3790903;Americas;58.2;4520.25
El Salvador;1977;4282586;Americas;56.7;5138.92
El Salvador;1982;4474873;Americas;56.6;4098.34
El Salvador;1987;4842194;Americas;63.2;4140.44
El Salvador;1992;5274649;Americas;66.8;4444.23
El Salvador;1997;5783439;Americas;69.5;5154.83
El Salvador;2002;6353681;Americas;70.7;5351.57
El Salvador;2007;6939688;Americas;71.9;5728.35
Equatorial Guinea;1952;216964;Africa;34.5;375.64
Equatorial Guinea;1957;232922;Africa;36.0;426.1
Equatorial Guinea;1962;249220;Africa;37.5;582.84
Equatorial Guinea;1967;259864;Africa;39.0;915.6
Equatorial Guinea;1972;277603;Africa;40.5;672.41
Equatorial Guinea;1977;192675;Africa;42.0;958.57
Equatorial Guinea;1982;285483;Africa;43.7;927.83
Equatorial Guinea;1987;341244;Africa;45.7;966.9
Equatorial Guinea;1992;387838;Africa;47.5;1132.06
Equatorial Guinea;1997;439971;Africa;48.2;2814.48
Equatorial Guinea;2002;495627;Africa;49.3;7703.5
Equatorial Guinea;2007;551201;Africa;51.6;12154.09
Eritrea;1952;1438760;Africa;35.9;328.94
Eritrea;1957;1542611;Africa;38.0;344.16
Eritrea;1962;1666618;Africa;40.2;381.0
Eritrea;1967;1820319;Africa;42.2;468.79
Eritrea;1972;2260187;Africa;44.1;514.32
Eritrea;1977;2512642;Africa;44.5;505.75
Eritrea;1982;2637297;Africa;43.9;524.88
Eritrea;1987;2915959;Africa;46.5;521.13
Eritrea;1992;3668440;Africa;50.0;582.86
Eritrea;1997;4058319;Africa;53.4;913.47
Eritrea;2002;4414865;Africa;55.2;765.35
Eritrea;2007;4906585;Africa;58.0;641.37
Ethiopia;1952;20860941;Africa;34.1;362.15
Ethiopia;1957;22815614;Africa;36.7;378.9
Ethiopia;1962;25145372;Africa;40.1;419.46
Ethiopia;1967;27860297;Africa;42.1;516.12
Ethiopia;1972;30770372;Africa;43.5;566.24
Ethiopia;1977;34617799;Africa;44.5;556.81
Ethiopia;1982;38111756;Africa;44.9;577.86
Ethiopia;1987;42999530;Africa;46.7;573.74
Ethiopia;1992;52088559;Africa;48.1;421.35
Ethiopia;1997;59861301;Africa;49.4;515.89
Ethiopia;2002;67946797;Africa;50.7;530.05
Ethiopia;2007;76511887;Africa;52.9;690.81
Finland;1952;4090500;Europe;66.6;6424.52
Finland;1957;4324000;Europe;67.5;7545.42
Finland;1962;4491443;Europe;68.8;9371.84
Finland;1967;4605744;Europe;69.8;10921.64
Finland;1972;4639657;Europe;70.9;14358.88
Finland;1977;4738902;Europe;72.5;15605.42
Finland;1982;4826933;Europe;74.6;18533.16
Finland;1987;4931729;Europe;74.8;21141.01
Finland;1992;5041039;Europe;75.7;20647.16
Finland;1997;5134406;Europe;77.1;23723.95
Finland;2002;5193039;Europe;78.4;28204.59
Finland;2007;5238460;Europe;79.3;33207.08
France;1952;42459667;Europe;67.4;7029.81
France;1957;44310863;Europe;68.9;8662.83
France;1962;47124000;Europe;70.5;10560.49
France;1967;49569000;Europe;71.6;12999.92
France;1972;51732000;Europe;72.4;16107.19
France;1977;53165019;Europe;73.8;18292.64
France;1982;54433565;Europe;74.9;20293.9
France;1987;55630100;Europe;76.3;22066.44
France;1992;57374179;Europe;77.5;24703.8
France;1997;58623428;Europe;78.6;25889.78
France;2002;59925035;Europe;79.6;28926.03
France;2007;61083916;Europe;80.7;30470.02
Gabon;1952;420702;Africa;37.0;4293.48
Gabon;1957;434904;Africa;39.0;4976.2
Gabon;1962;455661;Africa;40.5;6631.46
Gabon;1967;489004;Africa;44.6;8358.76
